case_name,verdict,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,10000,543,5,13,12,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,5000,556,8,8,9,13,13,13
1.3-escape-bs-aa-b,PASS,5000,507,3,7,7,9,9,9
2.1-x2-space-vieejt-nam,FAIL,1000,520,9,3,3,6,6,6
2.2-word-boundary-xin-chao-ban,FAIL,1000,523,13,3,3,6,6,6
2.3-en-vn-transition-hello-vieejt,FAIL,1000,521,11,3,4,6,6,6
3.3-engine-stress-truongf,FAIL,500,515,7,4,2,16,16,16
5.1-case-tracking-Giar,PASS,5000,506,4,5,8,9,9,9
5.2-vowel-start-uongs,FAIL,5000,521,5,7,6,12,12,12
5.3-cross-word-bs-vieejt-nam-bs4-s,FAIL,1000,541,14,4,4,7,7,7
6.1-autocap-binh-thuongf,PASS,5000,593,13,8,7,16,16,16
