case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,599,5,17,16,25,25,25
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,601,8,12,11,26,26,26
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,532,3,12,11,16,16,16
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,565,9,7,6,15,15,15
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,593,13,6,6,17,17,17
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,568,11,6,5,17,17,17
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,555,7,7,4,24,24,24
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,529,4,8,9,13,13,13
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,568,5,11,10,17,17,17
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,596,14,6,6,13,13,13
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,674,13,12,10,31,31,31
