case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,591,5,18,15,30,30,30
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,598,8,13,12,30,30,30
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,537,3,13,11,21,21,21
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,592,9,10,8,20,20,20
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,659,13,9,9,30,30,30
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,613,11,10,9,22,22,22
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,626,7,13,8,49,49,49
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,547,4,10,13,14,14,14
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,602,5,13,11,24,24,24
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,666,14,10,9,22,22,22
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,744,13,16,11,55,55,55
