case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,571,5,16,15,21,21,21
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,590,8,12,12,26,26,26
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,541,3,17,18,24,24,24
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,574,9,9,6,21,21,21
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,614,13,7,6,30,30,30
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,582,11,8,7,19,19,19
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,608,7,11,7,41,41,41
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,538,4,8,10,12,12,12
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,571,5,11,10,19,19,19
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,634,14,8,7,21,21,21
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,709,13,14,11,43,43,43
