case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,610,5,19,20,22,22,22
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,613,8,13,13,16,16,16
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,550,3,13,14,14,14,14
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,610,9,10,11,12,12,12
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,621,13,8,9,10,10,10
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,603,11,9,9,12,12,12
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,569,7,9,10,11,11,11
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,549,4,10,13,15,15,15
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,566,5,12,12,14,14,14
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,634,14,9,9,12,12,12
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,681,13,13,13,16,16,16
