case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,586,5,17,16,25,25,25
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,583,8,10,10,21,21,21
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,532,3,10,8,16,16,16
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,568,9,6,5,14,14,14
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,576,13,5,5,17,17,17
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,564,11,5,5,12,12,12
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,573,7,7,4,27,27,27
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,541,4,7,9,10,10,10
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,565,5,10,9,18,18,18
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,598,14,6,5,14,14,14
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,673,13,11,9,31,31,31
