case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,557,5,13,15,16,16,16
1.2-tone-ghost-toans-bs3-i,FAIL,exact,0,0.00,5000,551,8,8,8,12,12,12
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,506,3,9,8,12,12,12
2.1-x2-space-vieejt-nam,FAIL,exact,0,0.00,1000,521,9,4,5,7,7,7
2.2-word-boundary-xin-chao-ban,FAIL,exact,0,0.00,1000,532,13,3,3,10,10,10
2.3-en-vn-transition-hello-vieejt,FAIL,exact,0,0.00,1000,523,11,4,4,10,10,10
3.3-engine-stress-truongf,FAIL,exact,0,0.00,500,516,7,4,4,12,12,12
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,503,4,6,8,10,10,10
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,535,5,7,7,11,11,11
5.3-cross-word-bs-vieejt-nam-bs4-s,FAIL,exact,0,0.00,1000,556,14,4,4,9,9,9
6.1-autocap-binh-thuongf,FAIL,exact,0,0.00,5000,597,13,8,8,12,12,12
