case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,545,5,12,13,14,14,14
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,545,8,8,8,11,11,11
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,508,3,7,7,9,9,9
2.1-x2-space-vieejt-nam,FAIL,exact,0,0.00,1000,521,9,4,4,12,12,12
2.2-word-boundary-xin-chao-ban,FAIL,exact,0,0.00,1000,531,13,3,3,6,6,6
2.3-en-vn-transition-hello-vieejt,FAIL,exact,0,0.00,1000,521,11,3,3,9,9,9
3.3-engine-stress-truongf,FAIL,exact,0,0.00,500,519,7,4,3,10,10,10
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,515,4,7,9,11,11,11
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,524,5,7,7,12,12,12
5.3-cross-word-bs-vieejt-nam-bs4-s,FAIL,exact,0,0.00,1000,541,14,4,4,9,9,9
6.1-autocap-binh-thuongf,FAIL,exact,0,0.00,5000,579,13,7,7,12,12,12
