case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,556,5,13,14,14,14,14
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,568,8,9,9,11,11,11
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,525,3,10,9,13,13,13
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,527,9,4,5,7,7,7
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,542,13,4,4,8,8,8
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,540,11,4,5,8,8,8
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,520,7,4,5,6,6,6
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,506,4,6,8,9,9,9
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,525,5,8,8,10,10,10
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,575,14,6,7,9,9,9
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,595,13,8,8,10,10,10
