case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,551,5,13,13,17,17,17
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,547,8,8,9,12,12,12
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,507,3,9,10,11,11,11
2.1-x2-space-vieejt-nam,FAIL,exact,0,0.00,1000,524,9,4,5,7,7,7
2.2-word-boundary-xin-chao-ban,FAIL,exact,0,0.00,1000,536,13,4,4,6,6,6
2.3-en-vn-transition-hello-vieejt,FAIL,exact,0,0.00,1000,531,11,4,4,8,8,8
3.3-engine-stress-truongf,FAIL,exact,0,0.00,500,521,7,4,3,17,17,17
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,507,4,5,6,10,10,10
5.2-vowel-start-uongs,FAIL,exact,0,0.00,5000,529,5,7,7,12,12,12
5.3-cross-word-bs-vieejt-nam-bs4-s,FAIL,exact,0,0.00,1000,549,14,4,4,10,10,10
6.1-autocap-binh-thuongf,FAIL,exact,0,0.00,5000,586,13,7,6,11,11,11
