case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,541,5,12,12,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,542,8,8,9,12,12,12
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,496,3,6,6,8,8,8
2.1-x2-space-vieejt-nam,FAIL,exact,0,0.00,1000,512,9,3,3,8,8,8
2.2-word-boundary-xin-chao-ban,FAIL,exact,0,0.00,1000,523,13,3,4,7,7,7
2.3-en-vn-transition-hello-vieejt,FAIL,exact,0,0.00,1000,520,11,4,3,9,9,9
3.3-engine-stress-truongf,FAIL,exact,0,0.00,500,511,7,4,2,16,16,16
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,500,4,5,7,8,8,8
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,519,5,8,8,12,12,12
5.3-cross-word-bs-vieejt-nam-bs4-s,FAIL,exact,0,0.00,1000,547,14,4,5,9,9,9
6.1-autocap-binh-thuongf,FAIL,exact,0,0.00,5000,572,13,7,7,11,11,11
