case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,544,5,12,11,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,544,8,8,8,14,14,14
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,499,3,8,7,11,11,11
2.1-x2-space-vieejt-nam,FAIL,exact,0,0.00,1000,512,9,4,3,8,8,8
2.2-word-boundary-xin-chao-ban,FAIL,exact,0,0.00,1000,525,13,3,4,6,6,6
2.3-en-vn-transition-hello-vieejt,FAIL,exact,0,0.00,1000,519,11,4,3,10,10,10
3.3-engine-stress-truongf,FAIL,exact,0,0.00,500,506,7,3,3,11,11,11
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,505,4,5,7,10,10,10
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,516,5,7,7,11,11,11
5.3-cross-word-bs-vieejt-nam-bs4-s,FAIL,exact,0,0.00,1000,543,14,4,4,9,9,9
6.1-autocap-binh-thuongf,FAIL,exact,0,0.00,5000,575,13,7,6,14,14,14
