case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,582,5,15,14,21,21,21
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,574,8,10,10,21,21,21
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,523,3,10,10,14,14,14
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,546,9,5,4,10,10,10
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,563,13,4,4,14,14,14
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,548,11,5,4,12,12,12
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,547,7,5,3,18,18,18
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,515,4,6,8,9,9,9
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,564,5,9,8,15,15,15
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,574,14,5,4,11,11,11
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,666,13,11,9,32,32,32
