case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,577,5,15,13,24,24,24
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,584,8,10,10,23,23,23
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,544,3,11,9,18,18,18
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,564,9,7,5,16,16,16
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,590,13,6,5,22,22,22
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,576,11,6,5,15,15,15
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,571,7,8,4,33,33,33
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,534,4,7,9,12,12,12
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,562,5,10,8,18,18,18
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,609,14,6,6,16,16,16
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,663,13,11,8,31,31,31
