case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,575,5,16,14,23,23,23
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,573,8,10,11,21,21,21
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,533,3,12,10,19,19,19
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,553,9,6,6,14,14,14
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,585,13,6,5,19,19,19
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,570,11,6,5,15,15,15
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,569,7,6,4,24,24,24
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,548,4,7,9,12,12,12
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,553,5,10,9,14,14,14
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,587,14,6,5,14,14,14
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,656,13,10,8,26,26,26
