case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,582,5,16,17,17,17,17
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,591,8,11,12,12,12,12
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,532,3,11,11,12,12,12
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,569,9,7,8,9,9,9
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,598,13,6,7,8,8,8
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,582,11,7,7,9,9,9
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,538,7,6,6,7,7,7
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,532,4,9,11,13,13,13
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,555,5,10,11,12,12,12
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,604,14,7,8,9,9,9
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,632,13,10,10,12,12,12
