case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,572,5,15,14,20,20,20
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,575,8,10,9,18,18,18
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,527,3,11,9,16,16,16
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,535,9,5,5,9,9,9
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,568,13,4,4,13,13,13
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,549,11,5,4,11,11,11
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,547,7,6,4,20,20,20
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,524,4,6,8,9,9,9
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,557,5,9,9,14,14,14
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,569,14,4,4,9,9,9
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,639,13,9,8,22,22,22
