case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,537,5,12,13,15,15,15
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,549,8,8,8,12,12,12
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,505,3,10,10,12,12,12
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,506,9,3,3,7,7,7
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,515,13,2,2,8,8,8
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,509,11,3,3,6,6,6
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,502,7,3,2,10,10,10
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,499,4,5,6,9,9,9
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,513,5,6,6,9,9,9
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,523,14,3,2,8,8,8
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,573,12,6,6,12,12,12
