case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,539,5,13,12,20,20,20
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,550,8,8,7,19,19,19
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,509,3,10,8,18,18,18
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,523,9,5,2,16,16,16
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,542,13,4,3,15,15,15
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,535,11,5,4,15,15,15
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,531,7,6,2,28,28,28
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,507,4,5,7,10,10,10
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,536,5,8,7,18,18,18
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,561,14,5,4,13,13,13
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,599,13,8,7,20,20,20
