case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,542,5,12,12,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,549,8,9,9,12,12,12
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,510,3,10,10,15,15,15
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,518,9,4,2,16,16,16
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,545,13,4,4,14,14,14
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,531,11,4,3,9,9,9
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,536,7,5,2,22,22,22
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,501,4,5,7,8,8,8
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,526,5,8,7,15,15,15
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,556,14,4,3,9,9,9
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,592,12,7,7,14,14,14
