case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,562,5,13,14,15,15,15
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,559,8,9,10,10,10,10
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,520,3,9,10,11,11,11
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,548,9,5,5,8,8,8
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,553,13,5,5,7,7,7
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,548,11,5,5,9,9,9
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,533,7,5,5,9,9,9
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,522,4,6,9,10,10,10
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,526,5,8,8,11,11,11
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,572,14,5,6,8,8,8
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,595,12,8,8,10,10,10
