case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,553,5,11,11,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,539,8,6,7,8,8,8
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,511,3,7,7,9,9,9
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,511,9,3,3,7,7,7
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,512,13,2,2,3,3,3
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,507,11,2,2,5,5,5
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,515,7,3,2,12,12,12
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,506,4,5,7,7,7,7
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,524,5,6,6,10,10,10
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,524,14,2,2,6,6,6
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,573,12,6,6,10,10,10
