case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,547,5,13,12,20,20,20
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,547,8,8,7,18,18,18
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,510,3,10,8,15,15,15
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,527,9,5,3,14,14,14
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,557,13,4,3,15,15,15
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,540,11,5,4,14,14,14
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,536,7,6,2,27,27,27
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,524,4,5,7,9,9,9
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,540,5,8,7,17,17,17
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,552,14,4,3,13,13,13
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,613,13,9,7,26,26,26
