case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,588,5,15,15,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,654,8,15,16,16,16,16
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,564,3,15,15,16,16,16
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,560,9,3,2,10,10,10
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,576,13,3,3,10,10,10
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,558,11,3,2,7,7,7
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,560,7,3,2,11,11,11
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,575,4,11,16,16,16,16
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,609,5,15,16,17,17,17
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,606,14,3,4,7,7,7
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,775,13,17,16,31,31,31
