case_name,verdict,verdict_mode,error_chars,error_pct,inter_key_us_config,wall_clock_ms,l1_count,l1_mean_ms,l1_p50_ms,l1_p95_ms,l1_p99_ms,l1_max_ms
1.1-ghost-hoaf-bs-t,PASS,exact,0,0.00,10000,555,5,14,14,16,16,16
1.2-tone-ghost-toans-bs3-i,PASS,exact,0,0.00,5000,559,8,9,10,11,11,11
1.3-escape-bs-aa-b,PASS,exact,0,0.00,5000,518,3,10,10,12,12,12
2.1-x2-space-vieejt-nam,PASS,exact,0,0.00,1000,539,9,5,5,11,11,11
2.2-word-boundary-xin-chao-ban,PASS,exact,0,0.00,1000,542,13,4,4,7,7,7
2.3-en-vn-transition-hello-vieejt,PASS,exact,0,0.00,1000,543,11,5,5,8,8,8
3.3-engine-stress-truongf,PASS,exact,0,0.00,500,519,7,5,5,7,7,7
5.1-case-tracking-Giar,PASS,exact,0,0.00,5000,514,4,7,10,10,10,10
5.2-vowel-start-uongs,PASS,exact,0,0.00,5000,528,5,9,9,12,12,12
5.3-cross-word-bs-vieejt-nam-bs4-s,PASS,exact,0,0.00,1000,570,14,5,5,10,10,10
6.1-autocap-binh-thuongf,PASS,exact,0,0.00,5000,599,13,8,9,11,11,11
