Class: Chrome_WidgetWin_1 | ID:  | Name: about:blank - Google Chrome | ControlType: ControlType.Window
  Class: Chrome_RenderWidgetHostHWND | ID: 555 | Name: Chrome Legacy Window | ControlType: ControlType.Pane
  Class: Intermediate D3D Window | ID:  | Name:  | ControlType: ControlType.Pane
  Class: BrowserRootView | ID:  | Name: about:blank - Google Chrome | ControlType: ControlType.Pane
    Class: NonClientView | ID:  | Name:  | ControlType: ControlType.Pane
      Class: BrowserFrameViewWin | ID:  | Name:  | ControlType: ControlType.Pane
        Class: BrowserCaptionButtonContainer | ID:  | Name:  | ControlType: ControlType.Pane
          Class: WindowsCaptionButton | ID: view_1 | Name: Minimize | ControlType: ControlType.Button
          Class: WindowsCaptionButton | ID: view_2 | Name: Maximize | ControlType: ControlType.Button
          Class: WindowsCaptionButton | ID: view_3 | Name: Restore | ControlType: ControlType.Button
          Class: WindowsCaptionButton | ID: view_4 | Name: Close | ControlType: ControlType.Button
        Class: BrowserView | ID:  | Name:  | ControlType: ControlType.Pane
          Class: MainBackgroundRegionView | ID:  | Name:  | ControlType: ControlType.Pane
          Class: TopContainerView | ID:  | Name:  | ControlType: ControlType.Pane
            Class: ToolbarView | ID: view_1000 | Name:  | ControlType: ControlType.ToolBar
              Class: BackForwardButton | ID: view_1001 | Name: Back | ControlType: ControlType.Button
              Class: BackForwardButton | ID: view_1002 | Name: Forward | ControlType: ControlType.Button
              Class: ReloadButton | ID: view_1003 | Name: Reload | ControlType: ControlType.Button
              Class: HomeButton | ID: view_1004 | Name: Home | ControlType: ControlType.Button
              Class: SplitTabsToolbarButton | ID:  | Name: Open tab in split view | ControlType: ControlType.Button
              Class: LocationBarView | ID:  | Name:  | ControlType: ControlType.Group
                Class: PermissionDashboardView | ID:  | Name:  | ControlType: ControlType.Button
                Class: LocationIconView | ID: view_1011 | Name: View site information | ControlType: ControlType.Button
                  Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: OmniboxViewViews | ID: view_1012 | Name: Address and search bar | ControlType: ControlType.Edit
                Class: Label | ID:  | Name:  | ControlType: ControlType.Text
                Class: Label | ID:  | Name:  | ControlType: ControlType.Text
                Class: SelectedKeywordView | ID:  | Name:  | ControlType: ControlType.Button
                  Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: ContentSettingImageView | ID:  | Name:  | ControlType: ControlType.Button
                  Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                Class: PageActionContainerView | ID:  | Name:  | ControlType: ControlType.Pane
                  Class: PageActionView | ID:  | Name: Search with Google Lens | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Translate | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Indigo | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Tab active again | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: JavaScript optimizations are disabled. | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: To open this link, choose an app | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Reading mode | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Offer available | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: This page is allowed to edit files | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name:  | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Shopping insights | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Discount found | ControlType: ControlType.Button
                    Class: AXVirtualView | ID:  | Name:  | ControlType: ControlType.Text
                  Class: PageActionView | ID:  | Name: Google Password Manager | ControlType: ControlType.Button
